District,Name of Municipalities,Numbers of Wards,Province
Achham,Mangalsen,14,Sudurpashchim
Achham,Panchadewal Binayak,9,Sudurpashchim
Achham,Sanphebagar,14,Sudurpashchim
Achham,Kamalbazar,10,Sudurpashchim
Arghakhanchi,Sandhikharka,12,Lumbini
Arghakhanchi,Sitganga,14,Lumbini
Arghakhanchi,Bhumikasthan,10,Lumbini
Baglung,Baglung,14,Gandaki
Baglung,Galkot,11,Gandaki
Baglung,Dhorpatan,9,Gandaki
Baglung,Jaimini,10,Gandaki
Baitadi,Puchaudi,10,Sudurpashchim
Baitadi,Dasharathchand,11,Sudurpashchim
Baitadi,Patan,10,Sudurpashchim
Baitadi,Melauli,9,Sudurpashchim
Bajhang,Bungal,11,Sudurpashchim
Bajhang,Jaya Prithvi,11,Sudurpashchim
Bajura,Budhiganga,10,Sudurpashchim
Bajura,Budhinanda,10,Sudurpashchim
Bajura,Badimalika,9,Sudurpashchim
Bajura,Tribeni,9,Sudurpashchim
Banke,Kohalpur,15,Lumbini
Bara,Mahagadhimai,11,Madhesh
Bara,Simraungadh,11,Madhesh
Bara,Kolhabi,11,Madhesh
Bara,Pacharauta,9,Madhesh
Bara,Nijgadh,13,Madhesh
Bardiya,Gulariya,12,Lumbini
Bardiya,Barbardiya,11,Lumbini
Bardiya,Bansgadhi,9,Lumbini
Bardiya,Rajapur,10,Lumbini
Bardiya,Madhuwan,9,Lumbini
Bardiya,Thakurbaba,9,Lumbini
Bhaktapur,Suryabinayak,10,Bagmati
Bhaktapur,Madhyapur Thimi,9,Bagmati
Bhaktapur,Changunarayan,9,Bagmati
Bhaktapur,Bhaktapur,10,Bagmati
Bhojpur,Shadananda,14,Koshi
Bhojpur,Bhojpur,12,Koshi
Chitwan,Ratnanagar,16,Bagmati
Chitwan,Khairhani,13,Bagmati
Chitwan,Rapti,13,Bagmati
Chitwan,Kalika,11,Bagmati
Chitwan,Madi,9,Bagmati
Dadeldhura,Parshuram,12,Sudurpashchim
Dadeldhura,Amargadhi,11,Sudurpashchim
Dailekh,Dullu,13,Karnali
Dailekh,Aathabis,9,Karnali
Dailekh,Chamunda Bindrasaini,9,Karnali
Dailekh,Narayan,11,Karnali
Dang,Lamahi,9,Lumbini
Darchula,Mahakali,9,Sudurpashchim
Darchula,Shailyashikhar,9,Sudurpashchim
Dhading,Nilkantha,14,Bagmati
Dhading,Dhunibeshi,9,Bagmati
Dhankuta,Dhankuta,10,Koshi
Dhankuta,Mahalaxmi,9,Koshi
Dhankuta,Pakhribas,10,Koshi
Dhanusa,Mithila Bihari,10,
Dhanusha,Sabaila,13,Madhesh
Dhanusha,Shahidnagar,9,Madhesh
Dhanusha,Dhanushadham,9,Madhesh
Dhanusha,Chhireshwarnath,10,Madhesh
Dhanusha,Mithila,11,Madhesh
Dhanusha,Hansapur,9,Madhesh
Dhanusha,Kamala,9,Madhesh
Dhanusha,Ganeshman Charanath,11,Madhesh
Dhanusha,Nagarain,9,Madhesh
Dhanusha,Bideha,9,Madhesh
Dolakha,Bhimeshwar,9,Bagmati
Dolakha,Jiri,9,Bagmati
Dolpa,Tripura Sundari,11,Karnali
Dolpa,Thuli Bheri,11,Karnali
Doti,Dipayal Silgadhi,9,Sudurpashchim
Doti,Shikhar,11,Sudurpashchim
Gorkha,Gorkha,14,Gandaki
Gorkha,Palungtar,10,Gandaki
Gulmi,Resunga,14,Lumbini
Gulmi,Musikot,9,Lumbini
Ilam,Suryodaya,14,Koshi
Ilam,Ilam,10,Koshi
Ilam,Deumai,9,Koshi
Ilam,Mai,10,Koshi
Jajarkot,Bheri,13,Karnali
Jajarkot,Chhedagad,13,Karnali
Jajarkot,Nalgad,13,Karnali
Jhapa,Mechinagar,15,Koshi
Jhapa,Birtamod,10,Koshi
Jhapa,Damak,10,Koshi
Jhapa,Arjundhara,11,Koshi
Jhapa,Shivasatakshi,11,Koshi
Jhapa,Bhadrapur,10,Koshi
Jhapa,Gauradaha,9,Koshi
Jhapa,Kankai,9,Koshi
Jumla,Chandannath,10,Karnali
Kailali,Godawari,12,Sudurpashchim
Kailali,Lamki Chuha,10,Sudurpashchim
Kailali,Tikapur,9,Sudurpashchim
Kailali,Ghodaghodi,12,Sudurpashchim
Kailali,Gauriganga,11,Sudurpashchim
Kailali,Bhajani,9,Sudurpashchim
Kalikot,Khandachakra,11,Karnali
Kalikot,Raskot,9,Karnali
Kalikot,Tilagupha,11,Karnali
Kanchanpur,Bhimdatta,19,Sudurpashchim
Kanchanpur,Krishnapur,9,Sudurpashchim
Kanchanpur,Punarbas,11,Sudurpashchim
Kanchanpur,Bedkot,10,Sudurpashchim
Kanchanpur,Shuklaphanta,12,Sudurpashchim
Kanchanpur,Belauri,10,Sudurpashchim
Kanchanpur,Dodhara Chandani,10,Sudurpashchim
Kapilvastu,Banganga,11,Lumbini
Kapilvastu,Kapilvastu,12,Lumbini
Kapilvastu,Shivaraj,11,Lumbini
Kapilvastu,Buddhabhumi,10,Lumbini
Kapilvastu,Krishnanagar,12,Lumbini
Kapilvastu,Maharajganj,11,Lumbini
Kathmandu,Budhanilkantha,13,Bagmati
Kathmandu,Tarakeshwar,11,Bagmati
Kathmandu,Gokarneshwar,9,Bagmati
Kathmandu,Chandragiri,15,Bagmati
Kathmandu,Tokha,11,Bagmati
Kathmandu,Kageshwari-Manohara,9,Bagmati
Kathmandu,Nagarjun,10,Bagmati
Kathmandu,Kirtipur,10,Bagmati
Kathmandu,Shankharapur,9,Bagmati
Kathmandu,Dakshinkali,9,Bagmati
Kavrepalanchok,Banepa,14,Bagmati
Kavrepalanchok,Paunauti,12,Bagmati
Kavrepalanchok,Panchkhal,13,Bagmati
Kavrepalanchok,Dhulikhel,12,Bagmati
Kavrepalanchok,Mandan Deupur,12,Bagmati
Kavrepalanchok,Namobuddha,11,Bagmati
Khotang,Diktel Rupakot Majhuwagadhi,15,Koshi
Khotang,Halesi Tuwachung,11,Koshi
Lalitpur,Mahalaxmi,10,Bagmati
Lalitpur,Godawari,14,Bagmati
Lamjung,Besisahar,11,Gandaki
Lamjung,Sundarbazar,11,Gandaki
Lamjung,Madhya Nepal,10,Gandaki
Lamjung,Rainas,10,Gandaki
Mahottari,Bardibas,14,Madhesh
Mahottari,Gaushala,12,Madhesh
Mahottari,Jaleshwar,12,Madhesh
Mahottari,Bhangaha,9,Madhesh
Mahottari,Manara Shiswa,10,Madhesh
Mahottari,Balawa,11,Madhesh
Mahottari,Loharpatti,9,Madhesh
Mahottari,Aurahi,9,Madhesh
Mahottari,Ramgopalpur,9,Madhesh
Mahottari,Matihani,9,Madhesh
Makawanpur,Thaha,12,Bagmati
Morang,Sundar Haraincha,12,Koshi
Morang,Belbari,11,Koshi
Morang,Pathari Shanischare,10,Koshi
Morang,Urlabari,9,Koshi
Morang,Ratuwamai,10,Koshi
Morang,Rangeli,9,Koshi
Morang,Sunawarshi,9,Koshi
Morang,Letang,9,Koshi
Mugu,Chhayanath Rara,14,Karnali
Myagdi,Beni,10,Gandaki
Nawalparasi West,Bardaghat,16,
Nawalpur,Kawasoti,17,Gandaki
Nawalpur,Gaindakot,18,Gandaki
Nawalpur,Madhyabindu,15,Gandaki
Nawalpur,Devchuli,17,Gandaki
Nuwakot,Bidur,13,Bagmati
Nuwakot,Belkotgadhi,13,Bagmati
Okhaldhunga,Siddhicharan,12,Koshi
Palpa,Tansen,14,Lumbini
Palpa,Rampur,10,Lumbini
Pancthar,Phidim,14,
Parasi,Sunawal,13,Lumbini
Parasi,Ramgram,18,Lumbini
Parbat,Kushma,14,Gandaki
Parbat,Phalebas,11,Gandaki
Parsa,Bahudarmai,9,Madhesh
Parsa,Parsagadhi,9,Madhesh
Parsa,Pokhariya,10,Madhesh
Pyuthan,Pyuthan,10,Lumbini
Pyuthan,Swargadwari,9,Lumbini
Ramechhap,Manthali,14,Bagmati
Ramechhap,Ramechhap,9,Bagmati
Rautahat,Chandrapur,10,Madhesh
Rautahat,Garuda,9,Madhesh
Rautahat,Rajpur,9,Madhesh
Rautahat,Gujara,9,Madhesh
Rautahat,Ishnath,9,Madhesh
Rautahat,Brindaban,9,Madhesh
Rautahat,Gadhimai,9,Madhesh
Rautahat,Katahariya,9,Madhesh
Rautahat,Paroha,9,Madhesh
Rautahat,Phatuwa Bijayapur,11,Madhesh
Rautahat,Madhav Narayan,9,Madhesh
Rautahat,Gaur,9,Madhesh
Rautahat,Boudhimai,9,Madhesh
Rautahat,Dewahi Gonahi,9,Madhesh
Rautahat,Rajdevi,9,Madhesh
Rautahat,Maulapur,9,Madhesh
Rolpa,Rolpa,10,Lumbini
Rukum West,Aathabiskot,14,
Rupandehi,Tilottama,17,Lumbini
Rupandehi,Lumbini Sanskritik,13,Lumbini
Rupandehi,Sainamaina,11,Lumbini
Rupandehi,Siddharthanagar,13,Lumbini
Rupandehi,Devdaha,12,Lumbini
Salyan,Sharada,15,Karnali
Salyan,Bagchaur,12,Karnali
Salyan,Bangad Kupinde,12,Karnali
Sankhuwasabha,Khandbari,11,Koshi
Sankhuwasabha,Chainpur,11,Koshi
Sankhuwasabha,Panchkhapan,9,Koshi
Sankhuwasabha,Dharmadevi,9,Koshi
Sankhuwasabha,Madi,9,Koshi
Saptari,Rajbiraj,16,Madhesh
Saptari,Kanchanrup,12,Madhesh
Saptari,Hanumannagar Kankalini,14,Madhesh
Saptari,Khadak,11,Madhesh
Saptari,Surunga,11,Madhesh
Saptari,Dakneshwari,10,Madhesh
Saptari,Bodebarsain,10,Madhesh
Saptari,Shambhunath,12,Madhesh
Saptari,Saptakoshi,11,Madhesh
Sarlahi,Barahathawa,18,Madhesh
Sarlahi,Ishwarpur,15,Madhesh
Sarlahi,Lalbandi,17,Madhesh
Sarlahi,Malangwa,12,Madhesh
Sarlahi,Godaita,12,Madhesh
Sarlahi,Hariwan,11,Madhesh
Sarlahi,Balara,11,Madhesh
Sarlahi,Bagmati,12,Madhesh
Sarlahi,Kabilasi,10,Madhesh
Sarlahi,Haripur,9,Madhesh
Sarlahi,Haripurwa,9,Madhesh
Sindhuli,Kamalamai,14,Bagmati
Sindhuli,Dudhauli,14,Bagmati
Sindhupalchok,Chautara Sangachokgadhi,14,
Sindhupalchok,Melamchi,13,
Sindhupalchok,Barhabise,9,
Siraha,Lahan,24,Madhesh
Siraha,Siraha,22,Madhesh
Siraha,Golbazar,13,Madhesh
Siraha,Mirchaiya,12,Madhesh
Siraha,Kalyanpur,12,Madhesh
Siraha,Dhangadimai,14,Madhesh
Siraha,Sukhipur,10,Madhesh
Siraha,Karjanha,11,Madhesh
Solukhumbu,Solu Dudhkunda,11,Koshi
Sunsari,Barahachhetra,11,Koshi
Sunsari,Inaruwa,10,Koshi
Sunsari,Duhabi,12,Koshi
Sunsari,Ramdhuni,9,Koshi
Surkhet,Birendranagar,16,Karnali
Surkhet,Gurbhakot,14,Karnali
Surkhet,Bheriganga,13,Karnali
Surkhet,Panchapuri,11,Karnali
Surkhet,Lekbeshi,10,Karnali
Syangja,Waling,14,Gandaki
Syangja,Putalibazar,14,Gandaki
Syangja,Galyang,11,Gandaki
Syangja,Chapakot,10,Gandaki
Syangja,Bhirkot,9,Gandaki
Tanahun,Vyas,14,Gandaki
Tanahun,Shuklagandaki,12,Gandaki
Tanahun,Bhanu,13,Gandaki
Tanahun,Bhimad,9,Gandaki
Taplejung,Phungling,11,Koshi
Terathum,Myanglung,10,
Terathum,Laligurans,9,
Udayapur,Triyuga,16,Koshi
Udayapur,Katari,14,Koshi
Udayapur,Chaudandigadhi,10,Koshi
Udayapur,Belaka,9,Koshi
Western Rukum,Musikot,14,Karnali
Western Rukum,Chaurjahari,14,Karnali
